spu_disciplina,spu_rama,iscedf_narrow,iscedf_label,confianza,nota
Psicología,Ciencias Humanas,F031,Social and behavioural sciences,alta,"Psicología es 0313 → F031. Notar que la SPU la clasifica en Humanas pero ISCED la ubica en ciencias sociales/comportamiento: la comparación por rama SPU vs broad ISCED no es 1 a 1."
Teología,Ciencias Humanas,F022,Humanities (except languages),alta,"Religión y teología es 0221 → F022."
Otras Ciencias Humanas,Ciencias Humanas,F029,Arts and humanities not elsewhere classified,media,"Revisado 2026-07-24: categoría residual de la rama SPU Ciencias Humanas (≈ campo ISCED 02). F029 es el residual del mismo campo amplio, mapeo correcto por construcción. No aparece en el Excel de la SPU vigente (fila defensiva; 0 egresados)."
Ciencias de la Información y de la Comunicación,Ciencias Sociales,F032,Journalism and information,media,"Periodismo (0321) y bibliotecología/archivos (0322) → F032; pero comunicación social en Argentina suele tener perfil de ciencia social (F031). Probable sobreestimación de F032."
"Ciencias Políticas, Relaciones Internacionales y Diplomacia",Ciencias Sociales,F031,Social and behavioural sciences,alta,"Ciencia política es 0312 → F031."
Demografía y Geografía,Ciencias Sociales,F031,Social and behavioural sciences,media,"Demografía y geografía humana son 0314 → F031; la geografía física correspondería a 0532 → F053."
Derecho,Ciencias Sociales,F042,Law,alta,
Economía y Administración,Ciencias Sociales,F041,Business and administration,media,"El agregado SPU mezcla economía (0311 → F031) con administración y contaduría (F041). En la matrícula argentina domina administración/contador; si se consigue apertura por carrera, separar."
Relaciones Institucionales y Humanas,Ciencias Sociales,F041,Business and administration,media,"Revisado 2026-07-24: RRHH ≈ 0413 (gestión) y RRPP/publicidad ≈ 0414 (marketing) caen ambas en F041 (Business and administration), así que el agregado aterriza en F041 sin importar el split interno. Resto eventual en programas sociales (F031) es menor."
"Sociología, Antropología y Servicio Social",Ciencias Sociales,F031,Social and behavioural sciences,media,"Sociología y antropología son 0314 → F031, pero trabajo/servicio social es 0923 → F092 (Welfare). El agregado parte en dos campos ISCED; con datos por carrera conviene separar."
Otras Ciencias Sociales,Ciencias Sociales,F039,"Social sciences, journalism and information not elsewhere classified",media,"Revisado 2026-07-24: categoría residual de la rama SPU Ciencias Sociales (≈ campo ISCED 03). F039 es el residual del mismo campo amplio, mapeo correcto por construcción; la composición interna no es auditable desde la fuente. Volumen chico (0,7%)."
